                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       39 | Network Engineering     |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       39 | Network Engineering     |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       39 | Network Engineering     |
|         29 | Helene     | Parker       |       38 | 3.4 |       39 | Network Engineering     |
|         30 | Mariana    | Russel       |       37 | 1.8 |       39 | Network Engineering     |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       39 | Network Engineering     |
|         33 | Dejon      | Howell       |       37 | 4.0 |       39 | Network Engineering     |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       39 | Network Engineering     |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       39 | Network Engineering     |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       40 | Computer Programming    |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       40 | Computer Programming    |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       40 | Computer Programming    |
|         11 | Casares    | Hijo         |       41 | 4.0 |       40 | Computer Programming    |
|         13 | Sterling   | Boss         |       41 | 3.9 |       40 | Computer Programming    |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       40 | Computer Programming    |
|         16 | Faye       | Conn         |       41 | 2.1 |       40 | Computer Programming    |
|         17 | Efren      | Reilly       |       37 | 3.9 |       40 | Computer Programming    |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       40 | Computer Programming    |
|         20 | Larry      | Saunders     |       38 | 2.2 |       40 | Computer Programming    |
|         21 | Karl       | Kuhar        |       37 |     |       40 | Computer Programming    |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       40 | Computer Programming    |
|         23 | Obie       | Hilpert      |       37 |     |       40 | Computer Programming    |
|         25 | Nathan     | Turner       |       36 | 3.3 |       40 | Computer Programming    |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       40 | Computer Programming    |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       40 | Computer Programming    |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       40 | Computer Programming    |
|         29 | Helene     | Parker       |       38 | 3.4 |       40 | Computer Programming    |
|         30 | Mariana    | Russel       |       37 | 1.8 |       40 | Computer Programming    |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       40 | Computer Programming    |
|         33 | Dejon      | Howell       |       37 | 4.0 |       40 | Computer Programming    |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       40 | Computer Programming    |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       40 | Computer Programming    |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       41 | Game Design             |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       41 | Game Design             |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       41 | Game Design             |
|         17 | Efren      | Reilly       |       37 | 3.9 |       41 | Game Design             |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       41 | Game Design             |
|         20 | Larry      | Saunders     |       38 | 2.2 |       41 | Game Design             |
|         21 | Karl       | Kuhar        |       37 |     |       41 | Game Design             |
|         23 | Obie       | Hilpert      |       37 |     |       41 | Game Design             |
|         25 | Nathan     | Turner       |       36 | 3.3 |       41 | Game Design             |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       41 | Game Design             |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       41 | Game Design             |
|         29 | Helene     | Parker       |       38 | 3.4 |       41 | Game Design             |
|         30 | Mariana    | Russel       |       37 | 1.8 |       41 | Game Design             |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       41 | Game Design             |
|         33 | Dejon      | Howell       |       37 | 4.0 |       41 | Game Design             |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       41 | Game Design             |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       41 | Game Design             |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       42 | System Administration   |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       42 | System Administration   |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       42 | System Administration   |
|         11 | Casares    | Hijo         |       41 | 4.0 |       42 | System Administration   |
|         13 | Sterling   | Boss         |       41 | 3.9 |       42 | System Administration   |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       42 | System Administration   |
|         16 | Faye       | Conn         |       41 | 2.1 |       42 | System Administration   |
|         17 | Efren      | Reilly       |       37 | 3.9 |       42 | System Administration   |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       42 | System Administration   |
|         20 | Larry      | Saunders     |       38 | 2.2 |       42 | System Administration   |
|         21 | Karl       | Kuhar        |       37 |     |       42 | System Administration   |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       42 | System Administration   |
|         23 | Obie       | Hilpert      |       37 |     |       42 | System Administration   |
|         25 | Nathan     | Turner       |       36 | 3.3 |       42 | System Administration   |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       42 | System Administration   |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       42 | System Administration   |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       42 | System Administration   |
|         29 | Helene     | Parker       |       38 | 3.4 |       42 | System Administration   |
|         30 | Mariana    | Russel       |       37 | 1.8 |       42 | System Administration   |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       42 | System Administration   |
|         33 | Dejon      | Howell       |       37 | 4.0 |       42 | System Administration   |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       42 | System Administration   |
+------------+------------+--------------+----------+-----+----------+-------------------------+
(138 rows)

                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
+------------+------------+--------------+----------+-----+----------+-------------------------+
|          6 | Rhea       | Kellems      |       36 | 2.5 |       36 | Database Administration |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       37 | Web Development         |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       36 | Database Administration |
|         11 | Casares    | Hijo         |       41 | 4.0 |       41 | Game Design             |
|         13 | Sterling   | Boss         |       41 | 3.9 |       41 | Game Design             |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       41 | Game Design             |
|         16 | Faye       | Conn         |       41 | 2.1 |       41 | Game Design             |
|         17 | Efren      | Reilly       |       37 | 3.9 |       37 | Web Development         |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       36 | Database Administration |
|         20 | Larry      | Saunders     |       38 | 2.2 |       38 | Data Science            |
|         21 | Karl       | Kuhar        |       37 |     |       37 | Web Development         |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       41 | Game Design             |
|         23 | Obie       | Hilpert      |       37 |     |       37 | Web Development         |
|         25 | Nathan     | Turner       |       36 | 3.3 |       36 | Database Administration |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       38 | Data Science            |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       41 | Game Design             |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       36 | Database Administration |
|         29 | Helene     | Parker       |       38 | 3.4 |       38 | Data Science            |
|         30 | Mariana    | Russel       |       37 | 1.8 |       37 | Web Development         |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       36 | Database Administration |
|         33 | Dejon      | Howell       |       37 | 4.0 |       37 | Web Development         |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       42 | System Administration   |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       38 | Data Science            |
|            |            |              |          |     |       39 | Network Engineering     |
|            |            |              |          |     |       40 | Computer Programming    |
+------------+------------+--------------+----------+-----+----------+-------------------------+
(25 rows)

                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
+------------+------------+--------------+----------+-----+----------+-------------------------+
|          6 | Rhea       | Kellems      |       36 | 2.5 |       36 | Database Administration |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       37 | Web Development         |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       36 | Database Administration |
|         11 | Casares    | Hijo         |       41 | 4.0 |       41 | Game Design             |
|         13 | Sterling   | Boss         |       41 | 3.9 |       41 | Game Design             |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       41 | Game Design             |
|         16 | Faye       | Conn         |       41 | 2.1 |       41 | Game Design             |
|         17 | Efren      | Reilly       |       37 | 3.9 |       37 | Web Development         |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       36 | Database Administration |
|         20 | Larry      | Saunders     |       38 | 2.2 |       38 | Data Science            |
|         21 | Karl       | Kuhar        |       37 |     |       37 | Web Development         |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       41 | Game Design             |
|         23 | Obie       | Hilpert      |       37 |     |       37 | Web Development         |
|         25 | Nathan     | Turner       |       36 | 3.3 |       36 | Database Administration |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       38 | Data Science            |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       41 | Game Design             |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       36 | Database Administration |
|         29 | Helene     | Parker       |       38 | 3.4 |       38 | Data Science            |
|         30 | Mariana    | Russel       |       37 | 1.8 |       37 | Web Development         |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       36 | Database Administration |
|         33 | Dejon      | Howell       |       37 | 4.0 |       37 | Web Development         |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       42 | System Administration   |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       38 | Data Science            |
|            |            |              |          |     |       39 | Network Engineering     |
|            |            |              |          |     |       40 | Computer Programming    |
+------------+------------+--------------+----------+-----+----------+-------------------------+
(25 rows)

                                             
+------------+------------+-----------+----------+-----+----------+----------------------+
| student_id | first_name | last_name | major_id | gpa | major_id |        major         |
+------------+------------+-----------+----------+-----+----------+----------------------+
|            |            |           |          |     |       39 | Network Engineering  |
|            |            |           |          |     |       40 | Computer Programming |
+------------+------------+-----------+----------+-----+----------+----------------------+
(2 rows)

                                             
+------------+------------+-----------+----------+-----+----------+----------------------+
| student_id | first_name | last_name | major_id | gpa | major_id |        major         |
+------------+------------+-----------+----------+-----+----------+----------------------+
|            |            |           |          |     |       39 | Network Engineering  |
|            |            |           |          |     |       40 | Computer Programming |
+------------+------------+-----------+----------+-----+----------+----------------------+
(2 rows)

            
+----------------------+
|        major         |
+----------------------+
| Network Engineering  |
| Computer Programming |
+----------------------+
(2 rows)

                               
+------------+--------------+-------------------------+-----+
| first_name |  last_name   |          major          | gpa |
+------------+--------------+-------------------------+-----+
| Rhea       | Kellems      | Database Administration | 2.5 |
| Kimberly   | Whitley      | Web Development         | 3.8 |
| Jimmy      | Felipe       | Database Administration | 3.7 |
| Casares    | Hijo         | Game Design             | 4.0 |
| Sterling   | Boss         | Game Design             | 3.9 |
| Kaija      | Uronen       | Game Design             | 3.7 |
| Faye       | Conn         | Game Design             | 2.1 |
| Efren      | Reilly       | Web Development         | 3.9 |
| Maxine     | Hagenes      | Database Administration | 2.9 |
| Larry      | Saunders     | Data Science            | 2.2 |
| Karl       | Kuhar        | Web Development         |     |
| Lieke      | Hazenveld    | Game Design             | 3.5 |
| Obie       | Hilpert      | Web Development         |     |
| Nathan     | Turner       | Database Administration | 3.3 |
| Gerald     | Osiki        | Data Science            | 2.2 |
| Vanya      | Hassanah     | Game Design             | 4.0 |
| Roxelana   | Florescu     | Database Administration | 3.2 |
| Helene     | Parker       | Data Science            | 3.4 |
| Mariana    | Russel       | Web Development         | 1.8 |
| Mehdi      | Vandenberghe | Database Administration | 1.9 |
| Dejon      | Howell       | Web Development         | 4.0 |
| Aliya      | Gulgowski    | System Administration   | 2.6 |
| Ana        | Tupajic      | Data Science            | 3.1 |
+------------+--------------+-------------------------+-----+
(23 rows)

                               
+------------+--------------+-------------------------+-----+
| first_name |  last_name   |          major          | gpa |
+------------+--------------+-------------------------+-----+
| Rhea       | Kellems      | Database Administration | 2.5 |
| Emma       | Gilbert      |                         |     |
| Kimberly   | Whitley      | Web Development         | 3.8 |
| Jimmy      | Felipe       | Database Administration | 3.7 |
| Kyle       | Stimson      |                         | 2.8 |
| Casares    | Hijo         | Game Design             | 4.0 |
| Noe        | Savage       |                         | 3.6 |
| Sterling   | Boss         | Game Design             | 3.9 |
| Brian      | Davis        |                         | 2.3 |
| Kaija      | Uronen       | Game Design             | 3.7 |
| Faye       | Conn         | Game Design             | 2.1 |
| Efren      | Reilly       | Web Development         | 3.9 |
| Danh       | Nhung        |                         | 2.4 |
| Maxine     | Hagenes      | Database Administration | 2.9 |
| Larry      | Saunders     | Data Science            | 2.2 |
| Karl       | Kuhar        | Web Development         |     |
| Lieke      | Hazenveld    | Game Design             | 3.5 |
| Obie       | Hilpert      | Web Development         |     |
| Peter      | Booysen      |                         | 2.9 |
| Nathan     | Turner       | Database Administration | 3.3 |
| Gerald     | Osiki        | Data Science            | 2.2 |
| Vanya      | Hassanah     | Game Design             | 4.0 |
| Roxelana   | Florescu     | Database Administration | 3.2 |
| Helene     | Parker       | Data Science            | 3.4 |
| Mariana    | Russel       | Web Development         | 1.8 |
| Ajit       | Dhungel      |                         | 3.0 |
| Mehdi      | Vandenberghe | Database Administration | 1.9 |
| Dejon      | Howell       | Web Development         | 4.0 |
| Aliya      | Gulgowski    | System Administration   | 2.6 |
| Ana        | Tupajic      | Data Science            | 3.1 |
| Hugo       | Duran        |                         | 3.8 |
+------------+--------------+-------------------------+-----+
(31 rows)

                               
+------------+--------------+-------------------------+-----+
| first_name |  last_name   |          major          | gpa |
+------------+--------------+-------------------------+-----+
| Rhea       | Kellems      | Database Administration | 2.5 |
| Kimberly   | Whitley      | Web Development         | 3.8 |
| Jimmy      | Felipe       | Database Administration | 3.7 |
| Casares    | Hijo         | Game Design             | 4.0 |
| Sterling   | Boss         | Game Design             | 3.9 |
| Kaija      | Uronen       | Game Design             | 3.7 |
| Faye       | Conn         | Game Design             | 2.1 |
| Efren      | Reilly       | Web Development         | 3.9 |
| Maxine     | Hagenes      | Database Administration | 2.9 |
| Larry      | Saunders     | Data Science            | 2.2 |
| Karl       | Kuhar        | Web Development         |     |
| Lieke      | Hazenveld    | Game Design             | 3.5 |
| Obie       | Hilpert      | Web Development         |     |
| Nathan     | Turner       | Database Administration | 3.3 |
| Gerald     | Osiki        | Data Science            | 2.2 |
| Vanya      | Hassanah     | Game Design             | 4.0 |
| Roxelana   | Florescu     | Database Administration | 3.2 |
| Helene     | Parker       | Data Science            | 3.4 |
| Mariana    | Russel       | Web Development         | 1.8 |
| Mehdi      | Vandenberghe | Database Administration | 1.9 |
| Dejon      | Howell       | Web Development         | 4.0 |
| Aliya      | Gulgowski    | System Administration   | 2.6 |
| Ana        | Tupajic      | Data Science            | 3.1 |
|            |              | Network Engineering     |     |
|            |              | Computer Programming    |     |
+------------+--------------+-------------------------+-----+
(25 rows)

                               
+------------+--------------+-------------------------+-----+
| first_name |  last_name   |          major          | gpa |
+------------+--------------+-------------------------+-----+
| Rhea       | Kellems      | Database Administration | 2.5 |
| Emma       | Gilbert      |                         |     |
| Kimberly   | Whitley      | Web Development         | 3.8 |
| Jimmy      | Felipe       | Database Administration | 3.7 |
| Kyle       | Stimson      |                         | 2.8 |
| Casares    | Hijo         | Game Design             | 4.0 |
| Noe        | Savage       |                         | 3.6 |
| Sterling   | Boss         | Game Design             | 3.9 |
| Brian      | Davis        |                         | 2.3 |
| Kaija      | Uronen       | Game Design             | 3.7 |
| Faye       | Conn         | Game Design             | 2.1 |
| Efren      | Reilly       | Web Development         | 3.9 |
| Danh       | Nhung        |                         | 2.4 |
| Maxine     | Hagenes      | Database Administration | 2.9 |
| Larry      | Saunders     | Data Science            | 2.2 |
| Karl       | Kuhar        | Web Development         |     |
| Lieke      | Hazenveld    | Game Design             | 3.5 |
| Obie       | Hilpert      | Web Development         |     |
| Peter      | Booysen      |                         | 2.9 |
| Nathan     | Turner       | Database Administration | 3.3 |
| Gerald     | Osiki        | Data Science            | 2.2 |
| Vanya      | Hassanah     | Game Design             | 4.0 |
| Roxelana   | Florescu     | Database Administration | 3.2 |
| Helene     | Parker       | Data Science            | 3.4 |
| Mariana    | Russel       | Web Development         | 1.8 |
| Ajit       | Dhungel      |                         | 3.0 |
| Mehdi      | Vandenberghe | Database Administration | 1.9 |
| Dejon      | Howell       | Web Development         | 4.0 |
| Aliya      | Gulgowski    | System Administration   | 2.6 |
| Ana        | Tupajic      | Data Science            | 3.1 |
| Hugo       | Duran        |                         | 3.8 |
+------------+--------------+-------------------------+-----+
(31 rows)

                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
+------------+------------+--------------+----------+-----+----------+-------------------------+
|          6 | Rhea       | Kellems      |       36 | 2.5 |       36 | Database Administration |
|          7 | Emma       | Gilbert      |          |     |          |                         |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       37 | Web Development         |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       36 | Database Administration |
|         10 | Kyle       | Stimson      |          | 2.8 |          |                         |
|         11 | Casares    | Hijo         |       41 | 4.0 |       41 | Game Design             |
|         12 | Noe        | Savage       |          | 3.6 |          |                         |
|         13 | Sterling   | Boss         |       41 | 3.9 |       41 | Game Design             |
|         14 | Brian      | Davis        |          | 2.3 |          |                         |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       41 | Game Design             |
|         16 | Faye       | Conn         |       41 | 2.1 |       41 | Game Design             |
|         17 | Efren      | Reilly       |       37 | 3.9 |       37 | Web Development         |
|         18 | Danh       | Nhung        |          | 2.4 |          |                         |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       36 | Database Administration |
|         20 | Larry      | Saunders     |       38 | 2.2 |       38 | Data Science            |
|         21 | Karl       | Kuhar        |       37 |     |       37 | Web Development         |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       41 | Game Design             |
|         23 | Obie       | Hilpert      |       37 |     |       37 | Web Development         |
|         24 | Peter      | Booysen      |          | 2.9 |          |                         |
|         25 | Nathan     | Turner       |       36 | 3.3 |       36 | Database Administration |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       38 | Data Science            |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       41 | Game Design             |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       36 | Database Administration |
|         29 | Helene     | Parker       |       38 | 3.4 |       38 | Data Science            |
|         30 | Mariana    | Russel       |       37 | 1.8 |       37 | Web Development         |
|         31 | Ajit       | Dhungel      |          | 3.0 |          |                         |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       36 | Database Administration |
|         33 | Dejon      | Howell       |       37 | 4.0 |       37 | Web Development         |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       42 | System Administration   |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       38 | Data Science            |
|         36 | Hugo       | Duran        |          | 3.8 |          |                         |
+------------+------------+--------------+----------+-----+----------+-------------------------+
(31 rows)

                                           
+------------+------------+-----------+----------+-----+----------+-----------------+
| student_id | first_name | last_name | major_id | gpa | major_id |      major      |
+------------+------------+-----------+----------+-----+----------+-----------------+
|          8 | Kimberly   | Whitley   |       37 | 3.8 |       37 | Web Development |
|         11 | Casares    | Hijo      |       41 | 4.0 |       41 | Game Design     |
|         13 | Sterling   | Boss      |       41 | 3.9 |       41 | Game Design     |
|         17 | Efren      | Reilly    |       37 | 3.9 |       37 | Web Development |
|         20 | Larry      | Saunders  |       38 | 2.2 |       38 | Data Science    |
|         26 | Gerald     | Osiki     |       38 | 2.2 |       38 | Data Science    |
|         27 | Vanya      | Hassanah  |       41 | 4.0 |       41 | Game Design     |
|         29 | Helene     | Parker    |       38 | 3.4 |       38 | Data Science    |
|         33 | Dejon      | Howell    |       37 | 4.0 |       37 | Web Development |
|         35 | Ana        | Tupajic   |       38 | 3.1 |       38 | Data Science    |
|         36 | Hugo       | Duran     |          | 3.8 |          |                 |
+------------+------------+-----------+----------+-----+----------+-----------------+
(11 rows)

                         
+------------+-----------+-----------------+-----+
| first_name | last_name |      major      | gpa |
+------------+-----------+-----------------+-----+
| Kimberly   | Whitley   | Web Development | 3.8 |
| Casares    | Hijo      | Game Design     | 4.0 |
| Sterling   | Boss      | Game Design     | 3.9 |
| Efren      | Reilly    | Web Development | 3.9 |
| Larry      | Saunders  | Data Science    | 2.2 |
| Gerald     | Osiki     | Data Science    | 2.2 |
| Vanya      | Hassanah  | Game Design     | 4.0 |
| Helene     | Parker    | Data Science    | 3.4 |
| Dejon      | Howell    | Web Development | 4.0 |
| Ana        | Tupajic   | Data Science    | 3.1 |
| Hugo       | Duran     |                 | 3.8 |
+------------+-----------+-----------------+-----+
(11 rows)

                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
+------------+------------+--------------+----------+-----+----------+-------------------------+
|          6 | Rhea       | Kellems      |       36 | 2.5 |       36 | Database Administration |
|          7 | Emma       | Gilbert      |          |     |          |                         |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       37 | Web Development         |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       36 | Database Administration |
|         10 | Kyle       | Stimson      |          | 2.8 |          |                         |
|         11 | Casares    | Hijo         |       41 | 4.0 |       41 | Game Design             |
|         12 | Noe        | Savage       |          | 3.6 |          |                         |
|         13 | Sterling   | Boss         |       41 | 3.9 |       41 | Game Design             |
|         14 | Brian      | Davis        |          | 2.3 |          |                         |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       41 | Game Design             |
|         16 | Faye       | Conn         |       41 | 2.1 |       41 | Game Design             |
|         17 | Efren      | Reilly       |       37 | 3.9 |       37 | Web Development         |
|         18 | Danh       | Nhung        |          | 2.4 |          |                         |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       36 | Database Administration |
|         20 | Larry      | Saunders     |       38 | 2.2 |       38 | Data Science            |
|         21 | Karl       | Kuhar        |       37 |     |       37 | Web Development         |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       41 | Game Design             |
|         23 | Obie       | Hilpert      |       37 |     |       37 | Web Development         |
|         24 | Peter      | Booysen      |          | 2.9 |          |                         |
|         25 | Nathan     | Turner       |       36 | 3.3 |       36 | Database Administration |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       38 | Data Science            |
